Eval,m,p,t,Cl,Cd,Error
32,0.06442531355587357,0.37217602029111535,0.14215566771067092,0.936,0.01141,33.79769999999999
33,0.06782103473458093,0.3604656095296539,0.1441287646419972,0.9605,0.01191,32.754124999999995
34,0.06902814564329526,0.35630279290491945,0.1448301611066685,0.9679,0.01202,32.393440999999996
35,0.06945232195635273,0.3548399876274037,0.14507663039480762,0.9705,0.01208,32.363425
36,0.06964637963758877,0.3541707644965588,0.14518938836143575,0.9717,0.01211,32.362188999999994
37,0.06974065136972155,0.3538456610359474,0.14524416531619527,0.9727,0.01212,32.298929
38,0.06984065136972155,0.3538456610359474,0.14524416531619527,0.9736,0.01214,32.28929599999999
39,0.06974065136972155,0.3539456610359474,0.14524416531619527,0.9727,0.01213,32.34142899999999
40,0.06974065136972155,0.3538456610359474,0.14534416531619526,0.9725,0.01213,32.36252499999999
41,0.08062653514005752,0.35315178450898954,0.13221718397906024,1.0829,0.01406,33.880841
42,0.0744155121475034,0.35354768098867384,0.13964982631803147,1.0178,0.01237,28.868584
43,0.0745155121475034,0.35354768098867384,0.13964982631803147,1.0187,0.01238,28.829369000000007
44,0.0744155121475034,0.35364768098867383,0.13964982631803147,1.0179,0.01237,28.858941
45,0.0744155121475034,0.35354768098867384,0.13974982631803146,1.0178,0.01239,28.963783999999993
46,0.14099342569965,0.35443801542189773,0.0500000000000001,1.1759,0.02899,4000371.124181
47,0.08107330350271806,0.35363671443199624,0.13068484368622832,1.0878,0.01407,33.55578399999999
48,0.07675943828300376,0.353579025890249,0.13649363592787578,0.9418,0.01337,1000042.515624
49,0.07464990476105343,0.3535508154788313,0.1393342072790159,1.0203,0.01239,28.723309000000004
50,0.07474990476105343,0.3535508154788313,0.1393342072790159,1.021,0.0124,28.704100000000007
51,0.07464990476105343,0.3536508154788313,0.1393342072790159,1.0203,0.01238,28.675609000000005
52,0.07464990476105343,0.3535508154788313,0.1394342072790159,1.0202,0.01239,28.732904
53,0.07392885147788111,0.3543359609983003,0.13872692963645858,1.0138,0.01226,28.746644
54,0.07431586618308783,0.35391454573142184,0.13905287694617602,1.0173,0.01233,28.728828999999994
55,0.07448938503279298,0.35372560331819264,0.13919901610183538,1.0187,0.01236,28.734569000000004
56,0.07458141658424706,0.3536253913616559,0.13927652591270823,1.0194,0.01237,28.714535999999995
57,0.07468141658424707,0.3536253913616559,0.13927652591270823,1.0204,0.01239,28.713716
58,0.07458141658424706,0.35372539136165587,0.13927652591270823,1.0196,0.01237,28.695316
59,0.07458141658424706,0.3536253913616559,0.13937652591270822,1.0193,0.01238,28.771648999999986
60,0.056427014377173776,0.371868274269663,0.12427688270716833,0.8566,0.01029,41.48045599999999
61,0.07019755032161396,0.3580306236574579,0.13565446063893785,0.9825,0.01183,30.129524999999997
62,0.07311171784558018,0.35510225309985727,0.13806222227174086,1.0069,0.01216,28.98036100000001
63,0.07400523276344041,0.35420438338004184,0.13880046772944635,1.0145,0.01228,28.769425000000002
64,0.07432981602460392,0.3538782181689947,0.13906864693206678,1.0173,0.01234,28.77552899999999
65,0.074489529969179,0.35371772581257194,0.13920060678159804,1.0187,0.01236,28.734569000000004
